ch_name,x,y,z
S1,0.038,0.0513,0.025
D1,0.0532,0.0329,0.0308
S2,0.0582,0.0069,0.0306999999999999
D2,0.0608,-0.0181,0.0334
S3,0.0545,-0.0452,0.0317
D3,0.0362,0.055,0.0516
S4,0.0503,0.0343,0.054
D4,0.0583,0.0081999999999999,0.0573
S5,0.0599,-0.0177,0.0569
D5,0.0547999999999999,-0.0476,0.0573
S6,0.0257,0.0542,0.076
D6,0.0424,0.0343,0.0777
S7,0.0531,0.0079,0.0810999999999999
D7,0.0537,-0.0203,0.0787
S8,0.0472,-0.0462,0.0767
S9,-0.0506,-0.0741,0.0189
D8,-0.0605,-0.0476,0.0193999999999999
S10,-0.0670999999999999,-0.0179,0.0197
D9,-0.068,0.0070999999999999,0.0165
S11,-0.0622,0.0306,0.0161
D10,-0.0538999999999999,-0.0728,0.0451
S12,-0.0668,-0.049,0.0426
D11,-0.0704,-0.0208,0.0433
S13,-0.0687,0.0079,0.0425
D12,-0.0632,0.0311,0.0428
S14,-0.047,-0.0717,0.0669
D13,-0.0627,-0.0457,0.0677
S15,-0.07,-0.0193,0.0676
D14,-0.0677,0.0099,0.0663
S16,-0.0597,0.0346,0.0638
