ch_name,x,y,z
S9,-0.07,-0.0709,0.0432
D8,-0.0779,-0.0467,0.044
S10,-0.083,-0.0189,0.0489
D9,-0.0843,0.0094,0.0503
S11,-0.0752999999999999,0.0373,0.0513
D10,-0.071,-0.0722,0.0708
S12,-0.0792,-0.0496,0.072
D11,-0.0843,-0.0193999999999999,0.0765
S13,-0.083,0.0064,0.0778
D12,-0.0746,0.0306,0.0784
S14,-0.063,-0.0725,0.0995
D13,-0.0712,-0.0482,0.1025
S15,-0.079,-0.0218,0.1037
D14,-0.0762999999999999,0.0034,0.1072
S16,-0.0655,0.0263,0.1085999999999999
