ch_name,x,y,z
Probe1-ch1,0.0536,0.0467999999999999,0.0594
Probe1-ch2,0.0644,0.0193999999999999,0.0575
Probe1-ch3,0.0694,-0.0107,0.0555
Probe1-ch4,0.0665,-0.0382999999999999,0.0518
Probe1-ch5,0.0605,-0.0644,0.0464
Probe1-ch6,0.0515,0.0387999999999999,0.0839
Probe1-ch7,0.0615,0.0139,0.0828
Probe1-ch8,0.066,-0.0135,0.0804
Probe1-ch9,0.064,-0.0381,0.077
Probe1-ch10,0.056,-0.0648,0.0744
Probe1-ch11,0.0404,0.0335,0.1062999999999999
Probe1-ch12,0.0523999999999999,0.0119,0.1064
Probe1-ch13,0.057,-0.015,0.1062999999999999
Probe1-ch14,0.0521,-0.0422,0.1021
Probe1-ch15,0.0417,-0.0664,0.1001
Probe2-ch1,-0.07,-0.0709,0.0432
Probe2-ch2,-0.0779,-0.0467,0.044
Probe2-ch3,-0.083,-0.0189,0.0489
Probe2-ch4,-0.0843,0.0094,0.0503
Probe2-ch5,-0.0752999999999999,0.0373,0.0513
Probe2-ch6,-0.071,-0.0722,0.0708
Probe2-ch7,-0.0792,-0.0496,0.072
Probe2-ch8,-0.0843,-0.0193999999999999,0.0765
Probe2-ch9,-0.083,0.0064,0.0778
Probe2-ch10,-0.0746,0.0306,0.0784
Probe2-ch11,-0.063,-0.0725,0.0995
Probe2-ch12,-0.0712,-0.0482,0.1025
Probe2-ch13,-0.079,-0.0218,0.1037
Probe2-ch14,-0.0762999999999999,0.0034,0.1072
Probe2-ch15,-0.0655,0.0263,0.1085999999999999
