ch_name,x,y,z
Probe1-ch1,0.0362,0.041,0.1125999999999999
Probe1-ch2,0.0487,0.0178,0.106
Probe1-ch3,0.056,-0.0101999999999999,0.1001
Probe1-ch4,0.0591,-0.0397999999999999,0.0924
Probe1-ch5,0.0571,-0.0625,0.0702
Probe1-ch6,0.0282,0.0273,0.1371
Probe1-ch7,0.0426,0.0072,0.1255
Probe1-ch8,0.0546,-0.0146,0.1127
Probe1-ch9,0.0562999999999999,-0.0437,0.1014
Probe1-ch10,0.0515,-0.0695,0.0925999999999999
Probe1-ch11,0.0233,0.023,0.1425
Probe1-ch12,0.0368999999999999,0.0028,0.1392
Probe1-ch13,0.046,-0.0255,0.1368
Probe1-ch14,0.0477,-0.0471,0.1219
Probe1-ch15,0.0407,-0.0719,0.1109
Probe2-ch1,-0.0574,-0.0899,0.0658
Probe2-ch2,-0.0719,-0.0665999999999999,0.0784
Probe2-ch3,-0.0827,-0.0401,0.0865
Probe2-ch4,-0.0843,-0.0106,0.0984
Probe2-ch5,-0.0820999999999999,0.0133,0.1025
Probe2-ch6,-0.0531,-0.0887,0.0938
Probe2-ch7,-0.0667,-0.0681,0.1033
Probe2-ch8,-0.0765999999999999,-0.0446,0.1135999999999999
Probe2-ch9,-0.0792,-0.019,0.1224
Probe2-ch10,-0.0784,0.0054,0.1189
Probe2-ch11,-0.0397999999999999,-0.0940999999999999,0.1123
Probe2-ch12,-0.0556,-0.0729,0.1222999999999999
Probe2-ch13,-0.0674,-0.0499,0.1336
Probe2-ch14,-0.0712,-0.0237,0.138
Probe2-ch15,-0.0645,0.0060999999999999,0.1432
