ch_name,x,y,z
S1,0.051,0.0218,0.0757
D1,0.0546,-0.0066,0.0726
S2,0.0575,-0.0368999999999999,0.0650999999999999
D2,0.0536,-0.0667,0.0577
S3,0.0489,-0.091,0.0482999999999999
D3,0.0458,0.0114,0.1015
S4,0.0544,-0.0079,0.0977
D4,0.0562999999999999,-0.0394,0.0896
S5,0.0506,-0.0663,0.0814
D5,0.0414,-0.0917999999999999,0.0722
S6,0.0351,0.0124,0.1249
D6,0.044,-0.0143,0.1227999999999999
S7,0.0455,-0.0426,0.1158
D7,0.0368999999999999,-0.0695,0.1052999999999999
S8,0.0259,-0.094,0.0916
S9,-0.0739,-0.0755,0.0366
D8,-0.0833,-0.0486,0.0415
S10,-0.0906,-0.0196,0.0501
D9,-0.0897999999999999,0.0094,0.0547999999999999
S11,-0.0853,0.0366,0.0597
D10,-0.0805,-0.0772,0.061
S12,-0.0897999999999999,-0.0516,0.0688
D11,-0.0963,-0.0233999999999999,0.0707
S13,-0.0954,0.0038,0.0795
D12,-0.088,0.0283999999999999,0.0839
S14,-0.0755,-0.0857,0.0843
D13,-0.0871,-0.0619,0.0915
S15,-0.0965999999999999,-0.0334,0.0980999999999999
D14,-0.0952,-0.006,0.1045
S16,-0.0856,0.0217,0.1092
