ch_name,x,y,z
Probe1-ch1,0.051,0.061,0.0378
Probe1-ch2,0.0674,0.0358,0.041
Probe1-ch3,0.071,0.0086,0.0429
Probe1-ch4,0.0711,-0.0193999999999999,0.0458
Probe1-ch5,0.0637,-0.0485,0.047
Probe1-ch6,0.0532,0.0599,0.0663
Probe1-ch7,0.0652,0.0381,0.0687
Probe1-ch8,0.0714,0.0093,0.0702
Probe1-ch9,0.0729,-0.0169,0.0708
Probe1-ch10,0.067,-0.0439,0.0711
Probe1-ch11,0.0446,0.0633,0.0853
Probe1-ch12,0.0577,0.038,0.0879
Probe1-ch13,0.0655999999999999,0.0116999999999999,0.0902
Probe1-ch14,0.0668,-0.0149,0.0947
Probe1-ch15,0.0579,-0.0423,0.0948
Probe2-ch1,-0.0648,-0.0555,0.0443
Probe2-ch2,-0.0729,-0.0277,0.0429
Probe2-ch3,-0.0775,-0.0027,0.0415
Probe2-ch4,-0.0742999999999999,0.0263,0.0387
Probe2-ch5,-0.0643,0.05,0.0381
Probe2-ch6,-0.0660999999999999,-0.0526,0.0689
Probe2-ch7,-0.0746,-0.0272,0.0676
Probe2-ch8,-0.0757999999999999,0.0028,0.0670999999999999
Probe2-ch9,-0.0741,0.0292,0.062
Probe2-ch10,-0.0629,0.0512,0.0619
Probe2-ch11,-0.0579,-0.0487999999999999,0.0912
Probe2-ch12,-0.0687,-0.024,0.0916
Probe2-ch13,-0.0712,0.0029,0.0884
Probe2-ch14,-0.0653,0.0289,0.0858
Probe2-ch15,-0.0554,0.0533,0.0833
