ch_name,x,y,z
Probe1-ch1,0.0544,0.0326,0.0594
Probe1-ch2,0.0637,0.0114,0.0592
Probe1-ch3,0.068,-0.019,0.0578
Probe1-ch4,0.0663,-0.0482999999999999,0.0567999999999999
Probe1-ch5,0.0582,-0.0724,0.0517
Probe1-ch6,0.0502,0.0278999999999999,0.0814
Probe1-ch7,0.0589,0.0077,0.0841
Probe1-ch8,0.0663,-0.0209,0.0815
Probe1-ch9,0.0634,-0.0522,0.0767
Probe1-ch10,0.0564,-0.0746,0.0742999999999999
Probe1-ch11,0.0397999999999999,0.0275,0.1088
Probe1-ch12,0.0535,0.0044,0.1083
Probe1-ch13,0.0593,-0.0221,0.1075
Probe1-ch14,0.0562999999999999,-0.0481,0.1006
Probe1-ch15,0.0451,-0.0742999999999999,0.0949
Probe2-ch1,-0.0551,-0.0919,0.0523999999999999
Probe2-ch2,-0.0693,-0.0643,0.0567
Probe2-ch3,-0.0777,-0.0363,0.0567
Probe2-ch4,-0.0780999999999999,-0.0107,0.0528
Probe2-ch5,-0.0722,0.0147,0.0552
Probe2-ch6,-0.0535,-0.0865,0.0795999999999999
Probe2-ch7,-0.0678,-0.0634,0.0799
Probe2-ch8,-0.0767,-0.0366,0.0797
Probe2-ch9,-0.0785,-0.0092,0.0795999999999999
Probe2-ch10,-0.074,0.0129,0.0756
Probe2-ch11,-0.045,-0.0873,0.0963
Probe2-ch12,-0.0615,-0.0642,0.0978
Probe2-ch13,-0.0715,-0.0373,0.1033
Probe2-ch14,-0.0724,-0.0088,0.1027
Probe2-ch15,-0.0659,0.0163999999999999,0.1001
