ch_name,x,y,z
Probe1-ch1,0.0556,0.0526,0.0578
Probe1-ch2,0.0650999999999999,0.0282,0.0533999999999999
Probe1-ch3,0.0702,-0.0014,0.0515
Probe1-ch4,0.0695,-0.031,0.0477
Probe1-ch5,0.0637,-0.0588,0.0455
Probe1-ch6,0.0486,0.05,0.0768
Probe1-ch7,0.0606,0.0246,0.077
Probe1-ch8,0.0665999999999999,-0.0049,0.0737
Probe1-ch9,0.066,-0.0299,0.0722
Probe1-ch10,0.059,-0.0579,0.0698
Probe1-ch11,0.0411,0.0435,0.0986
Probe1-ch12,0.0531,0.0193,0.0996
Probe1-ch13,0.0585,-0.0089,0.0996
Probe1-ch14,0.0535,-0.033,0.0984
Probe1-ch15,0.0439,-0.0598,0.0928
Probe2-ch1,-0.0676,-0.0582,0.0482
Probe2-ch2,-0.0737999999999999,-0.0315,0.052
Probe2-ch3,-0.076,-0.0035,0.0579
Probe2-ch4,-0.0707,0.0276,0.058
Probe2-ch5,-0.0613,0.0513,0.0576
Probe2-ch6,-0.0638,-0.0595,0.073
Probe2-ch7,-0.0727,-0.0324,0.0770999999999999
Probe2-ch8,-0.0737999999999999,-0.0055,0.0815
Probe2-ch9,-0.0694,0.0218,0.0818
Probe2-ch10,-0.0572,0.0455,0.0837
Probe2-ch11,-0.0527,-0.0602,0.0948
Probe2-ch12,-0.0608,-0.0335,0.0997
Probe2-ch13,-0.064,-0.0076,0.1029
Probe2-ch14,-0.0582,0.0189,0.1054
Probe2-ch15,-0.0471,0.0416,0.1023
