ch_name,x,y,z
Probe1-ch1,0.0838,0.0268,0.0384
Probe1-ch2,0.0881,-0.0007,0.0448999999999999
Probe1-ch3,0.0790999999999999,-0.0292,0.0502
Probe1-ch4,0.0762999999999999,-0.0608,0.0455
Probe1-ch5,0.0705,0.0251,0.0675
Probe1-ch6,0.0735,-0.0032,0.0698
Probe1-ch7,0.0734,-0.0314,0.0704
Probe1-ch8,0.0684,-0.0583,0.0658
Probe1-ch9,0.0588,-0.0847,0.0584
Probe1-ch10,0.0521,0.0241,0.0857
Probe1-ch11,0.0589,-0.0024,0.0902
Probe1-ch12,0.059,-0.0291,0.0889
Probe1-ch13,0.0528999999999999,-0.0552999999999999,0.0815
Probe1-ch14,0.0387,-0.08,0.0728
Probe1-ch15,0.0397,-0.0802,0.0729
Probe2-ch1,-0.0464,-0.0782,0.0056
Probe2-ch2,-0.052,-0.0487999999999999,0.005
Probe2-ch3,-0.0544,-0.0201,0.0050999999999999
Probe2-ch4,-0.0495,0.0094,0.0059
Probe2-ch5,-0.0396,0.033,0.007
Probe2-ch6,-0.0496,-0.0737,0.0294
Probe2-ch7,-0.0573,-0.0469,0.0293
Probe2-ch8,-0.0582,-0.0186999999999999,0.0316
Probe2-ch9,-0.0527,0.0087,0.0321
Probe2-ch10,-0.0437,0.0332,0.0294
Probe2-ch11,-0.0421,-0.0725,0.054
Probe2-ch12,-0.0528,-0.0472,0.0555
Probe2-ch13,-0.0587,-0.0198999999999999,0.0567999999999999
Probe2-ch14,-0.0542999999999999,0.0077,0.0555
Probe2-ch15,-0.0421,0.0322999999999999,0.0577
