ch_name,x,y,z
S1,0.0838,0.0268,0.0384
D1,0.0881,-0.0007,0.0448999999999999
S2,0.0790999999999999,-0.0292,0.0502
D2,0.0762999999999999,-0.0608,0.0455
S3,0.0705,0.0251,0.0675
D3,0.0735,-0.0032,0.0698
S4,0.0734,-0.0314,0.0704
D4,0.0684,-0.0583,0.0658
S5,0.0588,-0.0847,0.0584
D5,0.0521,0.0241,0.0857
S6,0.0589,-0.0024,0.0902
D6,0.059,-0.0291,0.0889
S7,0.0528999999999999,-0.0552999999999999,0.0815
D7,0.0387,-0.08,0.0728
S8,0.0397,-0.0802,0.0729
S9,-0.0464,-0.0782,0.0056
D8,-0.052,-0.0487999999999999,0.005
S10,-0.0544,-0.0201,0.0050999999999999
D9,-0.0495,0.0094,0.0059
S11,-0.0396,0.033,0.007
D10,-0.0496,-0.0737,0.0294
S12,-0.0573,-0.0469,0.0293
D11,-0.0582,-0.0186999999999999,0.0316
S13,-0.0527,0.0087,0.0321
D12,-0.0437,0.0332,0.0294
S14,-0.0421,-0.0725,0.054
D13,-0.0528,-0.0472,0.0555
S15,-0.0587,-0.0198999999999999,0.0567999999999999
D14,-0.0542999999999999,0.0077,0.0555
S16,-0.0421,0.0322999999999999,0.0577
