ch_name,x,y,z
Probe1-ch1,0.0549,0.0547,0.0512
Probe1-ch2,0.0715,0.0317,0.0435
Probe1-ch3,0.0787,0.0040999999999999,0.0416
Probe1-ch4,0.0798,-0.0233,0.0377
Probe1-ch5,0.0728,-0.0498,0.0322999999999999
Probe1-ch6,0.0528,0.051,0.0715
Probe1-ch7,0.0696,0.0261,0.0745
Probe1-ch8,0.0769,0.0022,0.0712
Probe1-ch9,0.0765999999999999,-0.0257,0.0691
Probe1-ch10,0.0703,-0.0525,0.064
Probe1-ch11,0.042,0.0382999999999999,0.1061
Probe1-ch12,0.0605,0.0133,0.1067999999999999
Probe1-ch13,0.0677,-0.0115,0.1008
Probe1-ch14,0.0643,-0.0338,0.0967
Probe1-ch15,0.0567,-0.0578,0.086
Probe2-ch1,-0.0602,-0.0642,0.0457
Probe2-ch2,-0.0696,-0.0384,0.0552
Probe2-ch3,-0.0724,-0.0116999999999999,0.0677
Probe2-ch4,-0.0657,0.0188,0.0675
Probe2-ch5,-0.0549,0.0422,0.0655999999999999
Probe2-ch6,-0.0554,-0.066,0.0613999999999999
Probe2-ch7,-0.0645,-0.0425,0.0737999999999999
Probe2-ch8,-0.0692,-0.012,0.0820999999999999
Probe2-ch9,-0.0670999999999999,0.0121,0.0820999999999999
Probe2-ch10,-0.0542,0.0363,0.092
Probe2-ch11,-0.0457,-0.0676,0.0808
Probe2-ch12,-0.0561,-0.0429,0.0883
Probe2-ch13,-0.0645,-0.0153,0.0945
Probe2-ch14,-0.0627,0.0084,0.1007
Probe2-ch15,-0.0504,0.0327,0.1008
