ch_name,x,y,z
Probe1-ch1,0.0582,0.0366,0.057
Probe1-ch2,0.0652,0.0087,0.0578
Probe1-ch3,0.0625,-0.0218,0.0594
Probe1-ch4,0.0585,-0.0523,0.0593
Probe1-ch5,0.0545,-0.0807,0.0569
Probe1-ch6,0.0494,0.0365,0.0805
Probe1-ch7,0.0589,0.0078,0.0815999999999999
Probe1-ch8,0.0624,-0.0214,0.0814
Probe1-ch9,0.0592,-0.0512,0.0815
Probe1-ch10,0.0508,-0.0755,0.0735
Probe1-ch11,0.03,0.0381,0.0655
Probe1-ch12,0.0402999999999999,0.0129,0.077
Probe1-ch13,0.0443,-0.0146,0.0853
Probe1-ch14,0.0412,-0.0423,0.0892999999999999
Probe1-ch15,0.0325,-0.0691,0.0909
Probe2-ch1,-0.0659,-0.0825999999999999,0.0281
Probe2-ch2,-0.0774,-0.0577,0.0217
Probe2-ch3,-0.0862,-0.0305,0.0121
Probe2-ch4,-0.0867,-0.0043,0.0021
Probe2-ch5,-0.0827,0.0206,-0.0039
Probe2-ch6,-0.0711,-0.0762,0.0517
Probe2-ch7,-0.0815999999999999,-0.0512,0.0451
Probe2-ch8,-0.0896,-0.0257,0.0364
Probe2-ch9,-0.0892999999999999,0.0028,0.0282
Probe2-ch10,-0.0824,0.027,0.0224
Probe2-ch11,-0.0677,-0.0708,0.0716
Probe2-ch12,-0.0803,-0.0472999999999999,0.0658
Probe2-ch13,-0.0877,-0.0195,0.0584
Probe2-ch14,-0.0859,0.0074,0.0503
Probe2-ch15,-0.0785,0.0324,0.0428
