ch_name,x,y,z
S1,0.0533999999999999,0.0538,0.062
D1,0.0687,0.0306,0.0557999999999999
S2,0.0737,0.0024,0.0521
D2,0.0716,-0.0259,0.047
S3,0.0670999999999999,-0.0516,0.0416
D3,0.0492,0.0472999999999999,0.0848
S4,0.0634,0.0215,0.0820999999999999
D4,0.0684,-0.0032,0.0787
S5,0.0689,-0.0303,0.0714
D5,0.0657,-0.0561,0.0645999999999999
S6,0.0381,0.0419,0.1
D6,0.054,0.0167,0.1005
S7,0.0608,-0.009,0.0989
D7,0.059,-0.0347,0.0932
S8,0.0512,-0.0617999999999999,0.0843
S9,-0.0616,-0.0698,0.0285
D8,-0.0685,-0.041,0.0341
S10,-0.0726,-0.0125,0.0387
D9,-0.0692,0.0152,0.0425
S11,-0.0597,0.0401,0.0462
D10,-0.0606,-0.0709,0.0541
S12,-0.0697,-0.0447,0.0593
D11,-0.0716,-0.0158,0.0639
S13,-0.0677,0.0079,0.0677
D12,-0.0587,0.0346,0.0733
S14,-0.0477,-0.0716,0.0785
D13,-0.0599,-0.047,0.0837
S15,-0.0652,-0.021,0.091
D14,-0.0613999999999999,0.0039,0.0928
S16,-0.0501,0.0318,0.0912
