ch_name,x,y,z
Probe1-ch1,0.0533999999999999,0.0538,0.062
Probe1-ch2,0.0687,0.0306,0.0557999999999999
Probe1-ch3,0.0737,0.0024,0.0521
Probe1-ch4,0.0716,-0.0259,0.047
Probe1-ch5,0.0670999999999999,-0.0516,0.0416
Probe1-ch6,0.0492,0.0472999999999999,0.0848
Probe1-ch7,0.0634,0.0215,0.0820999999999999
Probe1-ch8,0.0684,-0.0032,0.0787
Probe1-ch9,0.0689,-0.0303,0.0714
Probe1-ch10,0.0657,-0.0561,0.0645999999999999
Probe1-ch11,0.0381,0.0419,0.1
Probe1-ch12,0.054,0.0167,0.1005
Probe1-ch13,0.0608,-0.009,0.0989
Probe1-ch14,0.059,-0.0347,0.0932
Probe1-ch15,0.0512,-0.0617999999999999,0.0843
Probe2-ch1,-0.0616,-0.0698,0.0285
Probe2-ch2,-0.0685,-0.041,0.0341
Probe2-ch3,-0.0726,-0.0125,0.0387
Probe2-ch4,-0.0692,0.0152,0.0425
Probe2-ch5,-0.0597,0.0401,0.0462
Probe2-ch6,-0.0606,-0.0709,0.0541
Probe2-ch7,-0.0697,-0.0447,0.0593
Probe2-ch8,-0.0716,-0.0158,0.0639
Probe2-ch9,-0.0677,0.0079,0.0677
Probe2-ch10,-0.0587,0.0346,0.0733
Probe2-ch11,-0.0477,-0.0716,0.0785
Probe2-ch12,-0.0599,-0.047,0.0837
Probe2-ch13,-0.0652,-0.021,0.091
Probe2-ch14,-0.0613999999999999,0.0039,0.0928
Probe2-ch15,-0.0501,0.0318,0.0912
