ch_name,x,y,z
Probe1-ch1,0.059,0.0395,0.0438
Probe1-ch2,0.0684,0.0147,0.0486
Probe1-ch3,0.0732,-0.0113,0.0566
Probe1-ch4,0.0668,-0.0401,0.0645999999999999
Probe1-ch5,0.0577,-0.0653,0.0629
Probe1-ch6,0.0546,0.0429,0.0622999999999999
Probe1-ch7,0.0665,0.0219,0.0732
Probe1-ch8,0.0702,-0.0075,0.0795999999999999
Probe1-ch9,0.0638,-0.0342,0.0846
Probe1-ch10,0.0522,-0.057,0.0872
Probe1-ch11,0.0457,0.0498,0.0851
Probe1-ch12,0.0577,0.0288,0.0942
Probe1-ch13,0.0613999999999999,0.0011,0.1036
Probe1-ch14,0.0538,-0.0273,0.1080999999999999
Probe1-ch15,0.0392,-0.0472999999999999,0.1072
Probe2-ch1,-0.0655,-0.0606,0.0652
Probe2-ch2,-0.0745,-0.0337,0.0621
Probe2-ch3,-0.0777,-0.0054,0.0533999999999999
Probe2-ch4,-0.0716,0.0201,0.0472999999999999
Probe2-ch5,-0.0592,0.0453999999999999,0.0402
Probe2-ch6,-0.0632,-0.0487,0.0883
Probe2-ch7,-0.0731,-0.0243,0.0851
Probe2-ch8,-0.0752,0.0008,0.0775999999999999
Probe2-ch9,-0.0688,0.0266,0.0693
Probe2-ch10,-0.0567,0.0472,0.0584
Probe2-ch11,-0.0521,-0.0431,0.1047
Probe2-ch12,-0.0645999999999999,-0.0198,0.1061
Probe2-ch13,-0.0681,0.0056,0.1011
Probe2-ch14,-0.0613999999999999,0.0322999999999999,0.0885
Probe2-ch15,-0.0501,0.0523,0.0784
