ch_name,x,y,z
Probe1-ch1,0.0617999999999999,0.0545,0.0715
Probe1-ch2,0.0721,0.0294,0.0688
Probe1-ch3,0.0774,0.0018,0.065
Probe1-ch4,0.0731,-0.0261999999999999,0.0592
Probe1-ch5,0.0634,-0.0523999999999999,0.051
Probe1-ch6,0.0645,0.0467,0.0983
Probe1-ch7,0.0734,0.0215,0.0950999999999999
Probe1-ch8,0.0754,-0.008,0.0884
Probe1-ch9,0.0712,-0.0315,0.0812
Probe1-ch10,0.0617,-0.0595,0.0746
Probe1-ch11,0.0523999999999999,0.0387999999999999,0.121
Probe1-ch12,0.0627,0.0136,0.1185
Probe1-ch13,0.0662,-0.0125,0.1119
Probe1-ch14,0.0613,-0.0367,0.1069
Probe1-ch15,0.049,-0.0588,0.0962
Probe2-ch1,-0.0655999999999999,-0.0484,0.0467
Probe2-ch2,-0.0704,-0.0206,0.0545
Probe2-ch3,-0.0728,0.0047,0.0599
Probe2-ch4,-0.0668,0.0336,0.064
Probe2-ch5,-0.0555,0.0571,0.0663
Probe2-ch6,-0.0674,-0.0532,0.0734
Probe2-ch7,-0.0737,-0.0265,0.0775999999999999
Probe2-ch8,-0.074,0.0,0.0861
Probe2-ch9,-0.069,0.0259,0.0907999999999999
Probe2-ch10,-0.0557,0.05,0.0932
Probe2-ch11,-0.059,-0.0567999999999999,0.099
Probe2-ch12,-0.0664,-0.0324,0.1044
Probe2-ch13,-0.0695,-0.0062,0.1085999999999999
Probe2-ch14,-0.0644,0.0211,0.1138
Probe2-ch15,-0.0506,0.0453999999999999,0.1143
