ch_name,x,y,z
S1,0.0617999999999999,0.0545,0.0715
D1,0.0721,0.0294,0.0688
S2,0.0774,0.0018,0.065
D2,0.0731,-0.0261999999999999,0.0592
S3,0.0634,-0.0523999999999999,0.051
D3,0.0645,0.0467,0.0983
S4,0.0734,0.0215,0.0950999999999999
D4,0.0754,-0.008,0.0884
S5,0.0712,-0.0315,0.0812
D5,0.0617,-0.0595,0.0746
S6,0.0523999999999999,0.0387999999999999,0.121
D6,0.0627,0.0136,0.1185
S7,0.0662,-0.0125,0.1119
D7,0.0613,-0.0367,0.1069
S8,0.049,-0.0588,0.0962
S9,-0.0655999999999999,-0.0484,0.0467
D8,-0.0704,-0.0206,0.0545
S10,-0.0728,0.0047,0.0599
D9,-0.0668,0.0336,0.064
S11,-0.0555,0.0571,0.0663
D10,-0.0674,-0.0532,0.0734
S12,-0.0737,-0.0265,0.0775999999999999
D11,-0.074,0.0,0.0861
S13,-0.069,0.0259,0.0907999999999999
D12,-0.0557,0.05,0.0932
S14,-0.059,-0.0567999999999999,0.099
D13,-0.0664,-0.0324,0.1044
S15,-0.0695,-0.0062,0.1085999999999999
D14,-0.0644,0.0211,0.1138
S16,-0.0506,0.0453999999999999,0.1143
