ch_name,x,y,z
Probe1-ch1,0.0547,0.0576,0.0659
Probe1-ch2,0.0683,0.0354,0.0606
Probe1-ch3,0.0737,0.0076,0.0533
Probe1-ch4,0.0727,-0.0205,0.0444
Probe1-ch5,0.0657,-0.0472999999999999,0.0373999999999999
Probe1-ch6,0.0565,0.0465,0.0875
Probe1-ch7,0.0679,0.026,0.0819
Probe1-ch8,0.0744,-0.0018,0.0749
Probe1-ch9,0.073,-0.0266999999999999,0.0726
Probe1-ch10,0.0657,-0.0517,0.0601
Probe1-ch11,0.0508,0.0389,0.1109
Probe1-ch12,0.0643,0.0182,0.1089
Probe1-ch13,0.0703,-0.0101,0.1004
Probe1-ch14,0.0665,-0.0344,0.0955999999999999
Probe1-ch15,0.0562,-0.0606,0.0867
Probe2-ch1,-0.0628,-0.0644,0.0376
Probe2-ch2,-0.0733,-0.0378,0.043
Probe2-ch3,-0.0761,-0.0121,0.049
Probe2-ch4,-0.0694,0.0184,0.0537
Probe2-ch5,-0.0613,0.0407,0.0569
Probe2-ch6,-0.0640999999999999,-0.0682,0.0639
Probe2-ch7,-0.074,-0.043,0.068
Probe2-ch8,-0.0768,-0.0163,0.0737
Probe2-ch9,-0.0725,0.0101,0.0779
Probe2-ch10,-0.0608999999999999,0.0332999999999999,0.0819
Probe2-ch11,-0.0561,-0.0732,0.0896
Probe2-ch12,-0.0682,-0.0475,0.0939
Probe2-ch13,-0.073,-0.022,0.0992
Probe2-ch14,-0.07,0.0052,0.1032
Probe2-ch15,-0.0576,0.0273,0.1054
