ch_name,x,y,z
S1,0.0547,0.0576,0.0659
D1,0.0683,0.0354,0.0606
S2,0.0737,0.0076,0.0533
D2,0.0727,-0.0205,0.0444
S3,0.0657,-0.0472999999999999,0.0373999999999999
D3,0.0565,0.0465,0.0875
S4,0.0679,0.026,0.0819
D4,0.0744,-0.0018,0.0749
S5,0.073,-0.0266999999999999,0.0726
D5,0.0657,-0.0517,0.0601
S6,0.0508,0.0389,0.1109
D6,0.0643,0.0182,0.1089
S7,0.0703,-0.0101,0.1004
D7,0.0665,-0.0344,0.0955999999999999
S8,0.0562,-0.0606,0.0867
S9,-0.0628,-0.0644,0.0376
D8,-0.0733,-0.0378,0.043
S10,-0.0761,-0.0121,0.049
D9,-0.0694,0.0184,0.0537
S11,-0.0613,0.0407,0.0569
D10,-0.0640999999999999,-0.0682,0.0639
S12,-0.074,-0.043,0.068
D11,-0.0768,-0.0163,0.0737
S13,-0.0725,0.0101,0.0779
D12,-0.0608999999999999,0.0332999999999999,0.0819
S14,-0.0561,-0.0732,0.0896
D13,-0.0682,-0.0475,0.0939
S15,-0.073,-0.022,0.0992
D14,-0.07,0.0052,0.1032
S16,-0.0576,0.0273,0.1054
