ch_name,x,y,z
Probe1-ch1,0.043,0.0355,0.0770999999999999
Probe1-ch2,0.0541,0.0153,0.0634
Probe1-ch3,0.0649,-0.0058,0.0622999999999999
Probe1-ch4,0.0782,-0.0366,0.0425
Probe1-ch5,0.0724,-0.0576,0.0361
Probe1-ch6,0.0432,0.0173,0.0940999999999999
Probe1-ch7,0.0597,-0.007,0.0865
Probe1-ch8,0.0797,-0.0295,0.0741
Probe1-ch9,0.0803,-0.0456,0.0636
Probe1-ch10,0.0678,-0.0654,0.0591
Probe1-ch11,0.0415,0.001,0.1066
Probe1-ch12,0.0587,-0.0091,0.1022
Probe1-ch13,0.0647,-0.0297,0.0998
Probe1-ch14,0.0624,-0.0538999999999999,0.0912999999999999
Probe1-ch15,0.0509,-0.0628,0.0888
Probe2-ch1,-0.0619,-0.0930999999999999,0.0286
Probe2-ch2,-0.0689,-0.0698,0.0377
Probe2-ch3,-0.0756,-0.0392,0.0492
Probe2-ch4,-0.0617,-0.0226,0.05
Probe2-ch5,-0.0749,0.0045,0.0509
Probe2-ch6,-0.0665,-0.0923,0.0457
Probe2-ch7,-0.0742999999999999,-0.0725,0.058
Probe2-ch8,-0.0892999999999999,-0.0503,0.0603
Probe2-ch9,-0.0767,-0.0422,0.0674
Probe2-ch10,-0.0713,-0.016,0.0792
Probe2-ch11,-0.0505,-0.116,0.0579
Probe2-ch12,-0.0629,-0.0922,0.0660999999999999
Probe2-ch13,-0.0662,-0.0603,0.0867
Probe2-ch14,-0.069,-0.0504,0.0868
Probe2-ch15,-0.061,-0.019,0.0964
