ch_name,x,y,z
Probe1-ch1,0.05,0.0552,0.0561
Probe1-ch2,0.0675,0.0314,0.0575
Probe1-ch3,0.0724,0.0035,0.0567
Probe1-ch4,0.0721,-0.0257,0.0562
Probe1-ch5,0.0660999999999999,-0.0538,0.0523
Probe1-ch6,0.0481,0.0495,0.0792
Probe1-ch7,0.0621,0.0273,0.0820999999999999
Probe1-ch8,0.0695,-0.0005,0.0825
Probe1-ch9,0.0693,-0.0255,0.0799
Probe1-ch10,0.0634,-0.0522,0.0784
Probe1-ch11,0.0382999999999999,0.0457,0.0991
Probe1-ch12,0.0525,0.024,0.1047
Probe1-ch13,0.0612,-0.0018,0.1045
Probe1-ch14,0.0603999999999999,-0.0283999999999999,0.103
Probe1-ch15,0.0502,-0.0559,0.0970999999999999
Probe2-ch1,-0.0663,-0.0714,0.052
Probe2-ch2,-0.0754,-0.0434,0.0561
Probe2-ch3,-0.0792,-0.0158,0.0588
Probe2-ch4,-0.0772,0.0119,0.0567999999999999
Probe2-ch5,-0.0675,0.0402,0.0552999999999999
Probe2-ch6,-0.0658,-0.0712,0.079
Probe2-ch7,-0.0757,-0.0429,0.0820999999999999
Probe2-ch8,-0.08,-0.0148,0.0829
Probe2-ch9,-0.0768,0.0113,0.0839
Probe2-ch10,-0.067,0.0343,0.0803
Probe2-ch11,-0.053,-0.0655999999999999,0.103
Probe2-ch12,-0.0660999999999999,-0.0437,0.1047
Probe2-ch13,-0.0739,-0.0155,0.1054
Probe2-ch14,-0.0704,0.0091,0.1056
Probe2-ch15,-0.059,0.0338,0.1016
