ch_name,x,y,z
Probe1-ch1,0.0562999999999999,0.0567,0.0622
Probe1-ch2,0.0681,0.0336,0.0597
Probe1-ch3,0.0746,0.0054,0.0549
Probe1-ch4,0.0714,-0.0248,0.0493
Probe1-ch5,0.0648,-0.0517,0.0417
Probe1-ch6,0.0538999999999999,0.0525,0.089
Probe1-ch7,0.0668,0.0282,0.0836
Probe1-ch8,0.0719,0.0039,0.079
Probe1-ch9,0.0703,-0.0259,0.074
Probe1-ch10,0.0628,-0.0542,0.0684
Probe1-ch11,0.0491,0.0494,0.1007
Probe1-ch12,0.061,0.024,0.1009
Probe1-ch13,0.0647,-0.0029,0.0977
Probe1-ch14,0.0607,-0.0281,0.0937
Probe1-ch15,0.0518,-0.0561,0.0865
Probe2-ch1,-0.0664,-0.0581,0.044
Probe2-ch2,-0.0739,-0.029,0.0479
Probe2-ch3,-0.0744,-0.0018,0.055
Probe2-ch4,-0.0669,0.0277,0.0556
Probe2-ch5,-0.0537,0.0523,0.0575
Probe2-ch6,-0.0650999999999999,-0.0601,0.0696
Probe2-ch7,-0.0731,-0.0321,0.073
Probe2-ch8,-0.0734,-0.0040999999999999,0.0782
Probe2-ch9,-0.0678,0.0236,0.0798
Probe2-ch10,-0.0538999999999999,0.0466,0.0827
Probe2-ch11,-0.0531,-0.0617,0.0912
Probe2-ch12,-0.0622,-0.0348,0.0972
Probe2-ch13,-0.0658,-0.0077,0.1005
Probe2-ch14,-0.0603999999999999,0.0191,0.1035
Probe2-ch15,-0.047,0.0436,0.1017
